,Date,ProductID,ProductName,Category,OriginalPrice,DiscountPrice,PromotionType,PromotionText,SalesVolume,Revenue,SalesOrganization,DistributionChannel,BusinessUnit,BusinessUnitType
24,09-06-2022,1002,Samsung A70,Smartphones,70.36,10.13,Bonus Buy,Get 10% off on earbuds,29,2025,South,Online,BU202,Retail Store
25,16-06-2023,6001,iPhone 15 Pro,Smartphones,89.86,10.07,Discount,Get 10% off,60,2260,South,In-store,BU200,Retail Store
26,21-08-2023,3001,iPhone 15,Smartphones,62.37,13.49,BOGOF,Get a free case,10,1260,South,Online,BU203,Retail Store
27,22-11-2023,9001,iPhone 15,Smartphones,64.58,13,Bonus Buy,Get 10% off,45,1957,Central,In-store,BU210,Retail Store
28,02-06-2022,5001,OnePlus 11,Smartphones,87.02,11.13,Bonus Buy,Get 10% off,23,1556,East,Online,BU209,Retail Store
29,26-02-2023,1001,OnePlus 12,Smartphones,62.17,11.81,Free Gift,Get 10% off on earbuds,25,2019,East,Online,BU206,Retail Store
30,06-08-2022,1001,OnePlus 12,Smartphones,71.26,12.36,Free Gift,Get 10% off on earbuds,37,2155,West,Online,BU207,DistributionCenter
31,09-01-2023,8001,OnePlus 11,Smartphones,68.82,10.75,Discount,Get 10% off on earbuds,39,2394,South,Catalog,BU215,DistributionCenter
32,17-08-2023,9001,iPhone 15 Pro,Smartphones,75.41,11.54,Free Gift,Get 10% off,58,1800,Central,In-store,BU209,Retail Store
33,06-12-2022,7001,iPhone 14,Smartphones,88.66,10.29,Discount,Get a free case,55,1947,South,Online,BU209,Retail Store
34,08-06-2023,1001,OnePlus 11,Smartphones,81.5,13.77,Bonus Buy,Get 10% off,13,2827,West,Online,BU213,DistributionCenter
35,18-12-2023,4001,Samsung A70,Smartphones,85.6,14.04,Bonus Buy,Get 10% off,48,1352,West,In-store,BU212,DistributionCenter
36,08-10-2023,3001,iPhone 14 Pro,Smartphones,72.39,14.22,Discount,Get 10% off,53,1686,West,Catalog,BU202,Retail Store
37,20-08-2022,3001,OnePlus 11,Smartphones,63.97,10.19,Bonus Buy,Free adapter,39,2937,Central,Online,BU201,Retail Store
38,27-07-2022,3001,OnePlus 12,Smartphones,75.7,14.28,BOGOF,Get a free case,55,2699,Central,In-store,BU216,Retail Store
39,07-09-2023,9001,Google Pixel 8,Smartphones,79.43,12.54,Free Gift,Get 10% off on earbuds,27,1465,West,Online,BU207,Retail Store
40,04-03-2023,8001,OnePlus 12,Smartphones,73.96,13.78,Bonus Buy,Get 10% off,46,1435,Central,Catalog,BU211,Retail Store
41,25-06-2022,1001,Google Pixel 8,Smartphones,75.51,13.1,BOGOF,Get a free case,22,1459,West,In-store,BU215,DistributionCenter
42,08-10-2023,6001,iPhone 14,Smartphones,61.92,13.79,Discount,Get 10% off on earbuds,19,2998,North,Catalog,BU206,Retail Store
43,15-05-2023,6001,Samsung A70,Smartphones,83.93,11.43,Bonus Buy,Get a free case,34,1306,South,Online,BU208,Retail Store
44,23-03-2022,1002,Google Pixel 7,Smartphones,85.44,11.07,Bonus Buy,Get a free case,54,1697,West,Catalog,BU211,DistributionCenter
45,27-11-2023,10001,iPhone 14 Pro,Smartphones,69.75,12.8,Bonus Buy,Get 10% off on earbuds,25,2677,North,Online,BU207,DistributionCenter
46,29-08-2023,1001,iPhone 15,Smartphones,66.29,12.15,Discount,Get 10% off,55,1875,South,Online,BU205,Retail Store
47,22-02-2023,8001,iPhone 14,Smartphones,77.57,12.79,Free Gift,Free adapter,28,2099,West,In-store,BU207,DistributionCenter
48,04-07-2022,1001,Samsung S23,Smartphones,64.19,10.26,Free Gift,Get 10% off on earbuds,53,1639,West,Catalog,BU206,DistributionCenter
49,28-03-2022,1001,Samsung S23,Smartphones,79.76,14.84,Discount,Get 10% off,32,2923,East,Catalog,BU205,DistributionCenter
50,15-09-2023,6001,Samsung A70,Smartphones,82.43,11.48,BOGOF,Get 10% off,41,2445,West,In-store,BU206,Retail Store
51,11-08-2022,10001,Samsung S23,Smartphones,81.1,12.6,Bonus Buy,Get 10% off,17,2735,South,Online,BU216,DistributionCenter
52,12-05-2022,1002,OnePlus 11,Smartphones,77.98,14.3,Discount,Get 10% off on earbuds,49,2820,Central,Online,BU209,Retail Store
53,07-05-2023,7001,Google Pixel 8,Smartphones,63.3,13.88,Bonus Buy,Get a free case,29,2833,North,Catalog,BU200,DistributionCenter
54,21-10-2022,4001,OnePlus 11,Smartphones,73.99,12.7,BOGOF,Free adapter,41,1836,North,In-store,BU205,Retail Store
55,14-05-2023,10001,iPhone 15,Smartphones,85.93,12.27,Discount,Get a free case,22,1294,North,Catalog,BU207,Retail Store
56,30-08-2023,6001,Google Pixel 7,Smartphones,80.85,11.47,BOGOF,Get a free case,55,1542,South,Catalog,BU202,DistributionCenter
57,24-10-2023,1001,Samsung A70,Smartphones,69.31,10.5,Free Gift,Get a free case,58,1721,West,Online,BU217,Retail Store
58,14-04-2022,10001,iPhone 15 Pro,Smartphones,73.73,11.23,Bonus Buy,Get 10% off,37,1236,South,Online,BU212,Retail Store
59,26-02-2022,1001,iPhone 14 Pro,Smartphones,79.33,10.82,Bonus Buy,Get 10% off,49,2998,North,Online,BU215,Retail Store
60,07-01-2022,7001,iPhone 15 Pro,Smartphones,60.7,11.74,BOGOF,Free adapter,28,2506,Central,Catalog,BU215,DistributionCenter
61,23-06-2022,3001,iPhone 15 Pro,Smartphones,67.78,10.81,Discount,Get 10% off,21,2266,East,Online,BU214,Retail Store
62,06-01-2023,4001,Samsung A70,Smartphones,88.22,13.98,Bonus Buy,Get 10% off,47,1481,West,Online,BU205,DistributionCenter
63,08-09-2023,10001,Samsung S23,Smartphones,89.11,10.61,Free Gift,Get 10% off,54,1836,East,Online,BU213,Retail Store
64,17-09-2023,1001,iPhone 14,Smartphones,65.07,13.9,Bonus Buy,Free adapter,54,2191,West,In-store,BU216,Retail Store
65,29-07-2022,7001,Google Pixel 7,Smartphones,72.96,13.79,Bonus Buy,Get 10% off,27,2469,South,Online,BU213,DistributionCenter
66,28-07-2023,8001,Google Pixel 7,Smartphones,79.87,11.68,Bonus Buy,Get 10% off on earbuds,50,1509,North,Online,BU207,DistributionCenter
67,28-01-2022,3001,Samsung S23,Smartphones,62.1,11.19,Discount,Get 10% off on earbuds,31,2102,North,Online,BU215,Retail Store
68,20-05-2022,6001,OnePlus 12,Smartphones,86.08,13.52,Bonus Buy,Get a free case,19,1992,South,Catalog,BU215,Retail Store
69,15-10-2022,9001,iPhone 14,Smartphones,78.79,14.96,BOGOF,Free adapter,36,1447,Central,In-store,BU208,Retail Store
70,16-04-2022,10001,OnePlus 11,Smartphones,85.38,14.08,Discount,Free adapter,30,2881,North,Online,BU219,Retail Store
71,10-10-2023,1001,Samsung A70,Smartphones,69.23,10.33,Bonus Buy,Get a free case,12,1674,West,Online,BU217,Retail Store
72,05-08-2023,7001,Samsung S23,Smartphones,60.31,11.05,BOGOF,Get a free case,19,1616,East,Catalog,BU208,Retail Store
73,08-01-2023,8001,Google Pixel 7,Smartphones,87.75,14.52,Discount,Free adapter,35,2973,Central,In-store,BU203,DistributionCenter
74,23-12-2022,3001,iPhone 14 Pro,Smartphones,66.81,11.68,Discount,Get 10% off on earbuds,23,2143,Central,Catalog,BU218,Retail Store
75,05-11-2023,7001,OnePlus 11,Smartphones,88.5,14.9,Discount,Get 10% off,37,1340,West,Online,BU203,Retail Store
76,22-05-2023,9001,OnePlus 11,Smartphones,74.73,12.38,Free Gift,Get 10% off,52,2594,West,In-store,BU212,DistributionCenter
77,07-11-2022,6001,Google Pixel 8,Smartphones,78.95,10.76,Free Gift,Get 10% off on earbuds,20,2221,West,In-store,BU218,Retail Store
78,22-03-2022,1002,Samsung A70,Smartphones,86.76,11.62,Discount,Get 10% off,54,1443,North,Catalog,BU212,DistributionCenter
79,02-02-2022,8001,Google Pixel 7,Smartphones,80.1,12.17,Free Gift,Get a free case,46,1766,East,In-store,BU202,DistributionCenter
80,09-07-2022,3001,Samsung S23,Smartphones,78.45,11.54,Bonus Buy,Get 10% off on earbuds,15,1515,West,Online,BU201,DistributionCenter
81,12-02-2023,3001,OnePlus 12,Smartphones,66.47,13.42,Bonus Buy,Get 10% off on earbuds,20,1477,North,Catalog,BU200,DistributionCenter
82,02-11-2023,7001,Google Pixel 8,Smartphones,70.18,11.58,Discount,Get a free case,37,2037,West,In-store,BU201,Retail Store
83,18-07-2022,9001,iPhone 14,Smartphones,75.12,11.65,Discount,Get 10% off,39,2240,East,Catalog,BU204,Retail Store
84,13-12-2022,6001,Google Pixel 7,Smartphones,64.27,11.53,Free Gift,Get a free case,12,2681,North,In-store,BU207,Retail Store
85,18-03-2023,7001,Google Pixel 7,Smartphones,79.95,13.54,Discount,Get 10% off on earbuds,46,2993,Central,In-store,BU205,DistributionCenter
86,30-10-2022,10001,OnePlus 12,Smartphones,73.79,10.82,Discount,Get 10% off on earbuds,34,2432,West,Catalog,BU201,Retail Store
87,26-04-2023,4001,OnePlus 11,Smartphones,78.25,11.7,Bonus Buy,Free adapter,50,2201,North,In-store,BU216,DistributionCenter
88,20-09-2022,6001,iPhone 15 Pro,Smartphones,78.12,10.1,BOGOF,Get a free case,52,1652,Central,Online,BU201,Retail Store
89,01-03-2022,9001,Google Pixel 7,Smartphones,72.97,13.21,Discount,Get a free case,26,2124,South,In-store,BU211,Retail Store
90,09-07-2022,1001,Google Pixel 8,Smartphones,72.34,12.3,Discount,Get 10% off,50,1722,East,Catalog,BU213,Retail Store
91,14-01-2023,9001,iPhone 15,Smartphones,66.86,13.31,Bonus Buy,Get a free case,40,1591,South,Catalog,BU215,Retail Store
92,23-02-2023,6001,Google Pixel 8,Smartphones,89.87,10.7,Bonus Buy,Free adapter,26,2278,North,Online,BU205,Retail Store
93,02-10-2022,9001,OnePlus 12,Smartphones,61.23,11.66,Bonus Buy,Get a free case,21,1711,Central,Catalog,BU213,Retail Store
94,08-10-2023,5001,iPhone 15 Pro,Smartphones,63.07,10.65,Bonus Buy,Free adapter,50,2975,South,Catalog,BU201,Retail Store
95,25-04-2023,6001,OnePlus 12,Smartphones,65.42,11.8,BOGOF,Get a free case,42,2152,South,In-store,BU209,DistributionCenter
96,08-11-2022,8001,OnePlus 12,Smartphones,66.42,11.32,Bonus Buy,Get 10% off,45,2704,West,Catalog,BU215,DistributionCenter
97,01-05-2022,1001,OnePlus 12,Smartphones,71.03,11.16,Free Gift,Free adapter,35,1693,South,Online,BU200,Retail Store
98,12-03-2023,3001,Google Pixel 8,Smartphones,80.57,13.09,BOGOF,Get a free case,32,1713,North,In-store,BU206,DistributionCenter
99,18-09-2022,6001,Google Pixel 7,Smartphones,85.18,11.25,Free Gift,Get 10% off on earbuds,47,2347,Central,In-store,BU211,Retail Store
100,23-12-2022,9001,iPhone 15 Pro,Smartphones,78.46,10.27,BOGOF,Get 10% off,14,1343,North,Online,BU204,Retail Store
101,12-08-2023,4001,OnePlus 12,Smartphones,75.29,12.92,Free Gift,Get 10% off,23,2563,Central,Catalog,BU200,Retail Store
102,22-03-2022,10001,Google Pixel 7,Smartphones,66.77,10.25,BOGOF,Get 10% off,53,1419,Central,Catalog,BU218,Retail Store
103,28-05-2022,4001,iPhone 15 Pro,Smartphones,65.35,13.79,Discount,Free adapter,15,2594,South,Online,BU202,Retail Store
104,06-10-2022,7001,Google Pixel 7,Smartphones,69.07,10.5,Bonus Buy,Free adapter,53,2153,East,Catalog,BU202,DistributionCenter
105,07-04-2023,1002,iPhone 15 Pro,Smartphones,61.9,10.43,Discount,Free adapter,21,1984,East,Catalog,BU216,Retail Store
106,30-04-2023,3001,Samsung S23,Smartphones,82.15,12.21,Discount,Free adapter,48,1762,North,Catalog,BU203,DistributionCenter
107,27-09-2022,6001,iPhone 15,Smartphones,73.65,13.92,Bonus Buy,Get 10% off on earbuds,57,2806,South,Online,BU201,Retail Store
108,17-12-2022,1002,Google Pixel 7,Smartphones,87.83,12.66,Bonus Buy,Get 10% off,25,1512,East,In-store,BU207,DistributionCenter
109,02-01-2022,5001,iPhone 15 Pro,Smartphones,89.55,12.23,Discount,Get a free case,60,2668,West,Catalog,BU216,Retail Store
110,20-03-2022,1002,iPhone 14 Pro,Smartphones,88.45,10.53,Bonus Buy,Get 10% off,15,1709,East,Catalog,BU205,Retail Store
111,16-09-2023,10001,iPhone 15 Pro,Smartphones,83.51,14.27,Bonus Buy,Free adapter,52,2089,South,Catalog,BU201,DistributionCenter
112,05-05-2023,7001,iPhone 15 Pro,Smartphones,67.34,13.42,BOGOF,Free adapter,52,1948,North,Catalog,BU205,Retail Store
113,03-05-2022,10001,Google Pixel 7,Smartphones,87.97,10.35,Free Gift,Free adapter,38,2671,Central,In-store,BU207,Retail Store
114,14-05-2023,1002,Samsung S23,Smartphones,85.47,11.78,Free Gift,Free adapter,14,1541,Central,Online,BU202,DistributionCenter
115,11-09-2022,6001,OnePlus 11,Smartphones,80.62,10.04,Discount,Get 10% off,32,1890,Central,Catalog,BU209,Retail Store
116,07-02-2023,7001,Google Pixel 8,Smartphones,79.65,13.75,Bonus Buy,Free adapter,56,1491,Central,Online,BU218,DistributionCenter
117,17-11-2022,7001,iPhone 14,Smartphones,60.72,12.35,Free Gift,Free adapter,48,2357,West,In-store,BU219,DistributionCenter
118,24-03-2023,4001,iPhone 15 Pro,Smartphones,69.83,12.38,Bonus Buy,Get a free case,15,1753,East,Catalog,BU214,DistributionCenter
119,13-12-2022,1002,Google Pixel 7,Smartphones,87.73,14.43,BOGOF,Free adapter,32,1620,East,In-store,BU210,DistributionCenter
120,20-04-2023,1001,iPhone 14,Smartphones,64.07,14.36,Bonus Buy,Get 10% off,18,1966,Central,In-store,BU207,Retail Store
121,08-03-2023,4001,Samsung A70,Smartphones,82.24,13.25,Discount,Get 10% off on earbuds,39,1886,West,In-store,BU210,DistributionCenter
122,11-11-2023,9001,iPhone 15 Pro,Smartphones,81.13,14.61,Bonus Buy,Get a free case,60,2330,South,Online,BU204,DistributionCenter
123,20-03-2022,1001,Samsung A70,Smartphones,87.66,11.51,Discount,Free adapter,29,2481,North,In-store,BU202,Retail Store
124,05-12-2023,5001,Google Pixel 7,Smartphones,73.85,12.73,Discount,Get 10% off,13,1825,Central,In-store,BU208,DistributionCenter
125,24-06-2022,1002,iPhone 15 Pro,Smartphones,89.89,10.99,Bonus Buy,Free adapter,27,2712,North,Catalog,BU216,DistributionCenter
126,01-04-2023,5001,Google Pixel 7,Smartphones,83.77,13.2,BOGOF,Get a free case,13,2885,North,Online,BU207,Retail Store
127,31-10-2023,1002,OnePlus 12,Smartphones,86.9,13.47,Free Gift,Get a free case,21,1395,South,Online,BU206,Retail Store
128,07-08-2023,10001,iPhone 14,Smartphones,78,10.58,BOGOF,Free adapter,40,2790,North,Online,BU209,DistributionCenter
129,23-01-2023,1001,Google Pixel 7,Smartphones,77.91,14.91,Discount,Get 10% off,58,1392,West,Catalog,BU201,Retail Store
130,04-06-2023,1002,iPhone 14,Smartphones,84.54,14.67,BOGOF,Free adapter,49,2002,South,Catalog,BU216,DistributionCenter
131,22-05-2022,1001,iPhone 14,Smartphones,71.01,14.17,Discount,Get a free case,36,1943,West,In-store,BU211,Retail Store
132,27-05-2022,4001,Samsung A70,Smartphones,79.48,13.61,Discount,Free adapter,54,1898,East,In-store,BU201,Retail Store
133,23-03-2023,4001,OnePlus 11,Smartphones,61.92,14.59,Discount,Free adapter,43,1261,South,Catalog,BU219,Retail Store
134,07-08-2022,8001,OnePlus 11,Smartphones,72.09,13.66,Free Gift,Get 10% off,40,2911,North,In-store,BU213,DistributionCenter
135,07-04-2022,6001,iPhone 14,Smartphones,64.67,12.28,Discount,Get 10% off on earbuds,32,2024,West,Online,BU200,Retail Store
136,05-10-2023,4001,Samsung A70,Smartphones,84.25,13.86,Bonus Buy,Get 10% off on earbuds,46,1507,South,In-store,BU209,DistributionCenter
137,12-06-2022,9001,iPhone 15,Smartphones,62.43,14.32,Free Gift,Get a free case,22,2455,West,Catalog,BU218,Retail Store
138,02-02-2022,6001,iPhone 15,Smartphones,67.61,12.76,BOGOF,Get a free case,52,1501,Central,In-store,BU205,Retail Store
139,31-05-2023,5001,Samsung A70,Smartphones,71.63,12.67,Bonus Buy,Free adapter,55,1634,West,Online,BU205,Retail Store
140,03-09-2023,3001,Google Pixel 7,Smartphones,71.62,14.71,BOGOF,Get 10% off on earbuds,26,1946,South,In-store,BU206,DistributionCenter
141,09-11-2023,9001,Google Pixel 8,Smartphones,63.91,14.53,BOGOF,Get 10% off,26,2412,West,Catalog,BU207,Retail Store
142,28-07-2023,8001,iPhone 15,Smartphones,78.9,11.21,Free Gift,Get 10% off on earbuds,55,1793,Central,Online,BU211,Retail Store
143,23-07-2023,10001,OnePlus 12,Smartphones,72.14,13.85,BOGOF,Get 10% off,45,2729,Central,In-store,BU204,DistributionCenter
144,29-09-2023,1002,Samsung A70,Smartphones,67.99,12.42,BOGOF,Get 10% off on earbuds,57,2983,West,Online,BU215,DistributionCenter
145,04-01-2022,6001,iPhone 14,Smartphones,78.97,12.5,BOGOF,Free adapter,52,1893,East,In-store,BU200,Retail Store
146,15-05-2022,8001,iPhone 14 Pro,Smartphones,71.08,14,BOGOF,Get a free case,58,2256,Central,Catalog,BU204,Retail Store
147,17-08-2022,5001,iPhone 14,Smartphones,78.05,11.52,Discount,Get a free case,17,2094,Central,Online,BU206,Retail Store
148,30-08-2023,3001,iPhone 15 Pro,Smartphones,83.42,13.07,Free Gift,Get a free case,15,2239,North,Online,BU202,DistributionCenter
149,30-06-2022,1002,iPhone 15 Pro,Smartphones,65.67,13.52,Free Gift,Get 10% off,38,2723,Central,Online,BU218,Retail Store
150,13-04-2023,5001,Google Pixel 8,Smartphones,71.26,13.75,Bonus Buy,Get 10% off on earbuds,34,1218,Central,In-store,BU210,Retail Store
151,13-01-2023,8001,Samsung A70,Smartphones,89.05,13.59,Discount,Free adapter,24,1274,Central,Catalog,BU216,DistributionCenter
152,19-11-2022,1002,Samsung S23,Smartphones,85.26,12.75,Bonus Buy,Free adapter,10,1271,East,Catalog,BU201,DistributionCenter
153,24-08-2023,4001,Google Pixel 8,Smartphones,69.38,10.88,Discount,Get a free case,10,1591,West,Online,BU217,Retail Store
154,01-10-2022,4001,iPhone 15,Smartphones,76.29,13.62,BOGOF,Get 10% off on earbuds,25,2510,North,Online,BU215,DistributionCenter
155,18-06-2022,8001,Samsung S23,Smartphones,82.74,12.82,Bonus Buy,Get 10% off on earbuds,30,2153,North,In-store,BU211,Retail Store
156,14-11-2022,6001,iPhone 14,Smartphones,62.78,10.59,Bonus Buy,Free adapter,23,1989,Central,Online,BU214,Retail Store
157,24-04-2022,5001,Samsung S23,Smartphones,63.93,13.2,Free Gift,Get 10% off on earbuds,16,1267,West,In-store,BU213,Retail Store
158,15-04-2022,4001,OnePlus 12,Smartphones,76.18,10.37,BOGOF,Get a free case,29,2003,Central,In-store,BU208,Retail Store
159,11-11-2022,1002,Samsung S23,Smartphones,77.73,10.62,Free Gift,Get a free case,57,1395,Central,In-store,BU205,DistributionCenter
160,01-10-2023,1001,iPhone 15 Pro,Smartphones,81.07,12.43,BOGOF,Get 10% off,15,2209,Central,In-store,BU212,DistributionCenter
161,31-03-2023,10001,iPhone 15,Smartphones,79.7,13.9,Free Gift,Get 10% off,59,2962,East,In-store,BU204,DistributionCenter
162,14-04-2022,7001,Samsung S23,Smartphones,72.83,13.66,BOGOF,Get a free case,55,2163,West,Online,BU200,DistributionCenter
163,02-12-2023,9001,Google Pixel 7,Smartphones,75.63,13.42,Free Gift,Get 10% off,43,2375,South,In-store,BU219,Retail Store
164,12-08-2022,3001,iPhone 15 Pro,Smartphones,65.05,13.72,Bonus Buy,Get 10% off on earbuds,18,2988,North,In-store,BU213,DistributionCenter
165,03-08-2023,10001,iPhone 14 Pro,Smartphones,71.67,12.09,Discount,Get 10% off,38,2198,East,In-store,BU216,Retail Store
166,10-10-2022,6001,iPhone 14 Pro,Smartphones,61.7,13.19,Discount,Free adapter,39,2969,South,Online,BU216,DistributionCenter
167,09-12-2023,1001,iPhone 15 Pro,Smartphones,69.4,14.19,BOGOF,Get 10% off,27,1722,West,Online,BU207,Retail Store
168,10-08-2022,9001,iPhone 14 Pro,Smartphones,66.31,13.19,Bonus Buy,Free adapter,46,1490,South,Online,BU219,Retail Store
169,04-06-2022,6001,Google Pixel 8,Smartphones,65.3,11.94,BOGOF,Get 10% off,37,2400,North,In-store,BU206,Retail Store
170,24-06-2022,5001,iPhone 14 Pro,Smartphones,68.8,14.84,BOGOF,Get 10% off,43,1343,East,Catalog,BU215,Retail Store
171,01-02-2023,6001,OnePlus 11,Smartphones,67.7,11.99,Bonus Buy,Free adapter,15,1613,North,Catalog,BU211,DistributionCenter
172,25-03-2023,6001,OnePlus 11,Smartphones,70.54,10.08,Discount,Get 10% off,17,1627,South,Online,BU201,Retail Store
173,28-02-2023,10001,Samsung A70,Smartphones,67.39,14.94,Discount,Get a free case,58,1538,South,Online,BU218,DistributionCenter
174,22-06-2022,10001,Google Pixel 8,Smartphones,70.24,11.69,BOGOF,Get 10% off on earbuds,51,2066,Central,In-store,BU219,Retail Store
175,26-07-2023,3001,iPhone 14,Smartphones,80.86,12.9,BOGOF,Get a free case,37,2336,South,Online,BU202,Retail Store
176,20-06-2023,5001,OnePlus 11,Smartphones,88.02,10.92,Discount,Free adapter,30,1542,East,Online,BU217,DistributionCenter
177,07-01-2022,1002,Samsung A70,Smartphones,86.35,12.3,BOGOF,Free adapter,41,1570,Central,Online,BU208,Retail Store
178,14-03-2022,8001,iPhone 14,Smartphones,72.12,11.32,Free Gift,Get 10% off,14,1208,East,Online,BU201,Retail Store
179,29-04-2022,7001,OnePlus 11,Smartphones,78.23,10.14,Free Gift,Get 10% off on earbuds,25,1493,West,Catalog,BU205,DistributionCenter
180,16-11-2022,4001,OnePlus 12,Smartphones,79.32,10.29,Discount,Get 10% off,28,1711,West,Catalog,BU200,Retail Store
181,30-04-2022,3001,iPhone 14,Smartphones,88.72,10.9,Discount,Get 10% off,59,1924,South,Online,BU205,DistributionCenter
182,14-10-2022,3001,Samsung A70,Smartphones,70.4,11.88,Discount,Get 10% off,26,2092,South,In-store,BU206,Retail Store
183,28-02-2023,10001,Google Pixel 8,Smartphones,68.17,14.81,Bonus Buy,Get 10% off on earbuds,37,2387,North,Online,BU212,DistributionCenter
184,08-01-2023,6001,Google Pixel 8,Smartphones,80.2,10.04,Discount,Get a free case,60,2036,West,Online,BU203,Retail Store
185,09-05-2023,6001,Google Pixel 7,Smartphones,72.82,14.75,BOGOF,Get 10% off on earbuds,44,1303,Central,Online,BU212,DistributionCenter
186,24-11-2023,6001,Samsung S23,Smartphones,65.11,14.12,Discount,Get 10% off,27,1398,South,In-store,BU207,Retail Store
187,13-10-2022,5001,Samsung S23,Smartphones,87.28,12.38,BOGOF,Get 10% off,25,1503,East,Catalog,BU201,Retail Store
188,19-12-2023,1002,Samsung A70,Smartphones,74.34,13.44,Free Gift,Get a free case,60,1528,Central,Catalog,BU204,Retail Store
189,08-03-2022,7001,iPhone 14,Smartphones,86.17,14.34,Discount,Get 10% off on earbuds,39,2956,East,In-store,BU211,Retail Store
190,16-08-2022,3001,iPhone 15,Smartphones,78.23,14.92,Free Gift,Get 10% off on earbuds,44,1887,East,Catalog,BU208,Retail Store
191,12-05-2022,9001,Samsung A70,Smartphones,66.92,13.47,Bonus Buy,Free adapter,25,1378,South,Online,BU210,DistributionCenter
192,23-06-2023,4001,iPhone 14,Smartphones,67.32,11.3,BOGOF,Get 10% off,45,2528,East,Catalog,BU204,DistributionCenter
193,21-08-2022,6001,Samsung A70,Smartphones,89.93,12.65,Discount,Free adapter,24,1873,South,In-store,BU214,Retail Store
194,14-10-2023,3001,Google Pixel 7,Smartphones,79.92,14.33,Free Gift,Free adapter,42,1393,North,In-store,BU208,DistributionCenter
195,17-11-2022,1002,Google Pixel 8,Smartphones,84.48,13.77,Free Gift,Get 10% off,43,2964,West,Online,BU218,DistributionCenter
196,22-06-2022,1001,iPhone 14 Pro,Smartphones,65.22,10.4,Free Gift,Get a free case,27,2241,East,In-store,BU203,DistributionCenter
